lat,lon,year,AGB,clay,sand,silt,elev,annual_precip,peat_frac,Hydraulic_Stress,NDVI,precip_clay_interaction,groundwater_depth
-2.541666667,112.2916667,1999,64.89751822,383,260,360,34,3223.0102643966675,8.58973634102075,0.9995,0.7325127124786377,1234412.9312639236,261.2054892645942
-2.541666667,112.2916667,2000,64.45251819,383,260,360,34,3234.360238552093,8.58973634102075,0.9995002498750624,0.6848307251930237,1238759.9713654516,261.2054892645942
-2.541666667,112.2916667,2001,63.82752974,383,260,360,34,3065.761543989181,8.58973634102075,0.9995004995004996,0.3363203108310699,1174186.6713478563,261.2054892645942
-2.541666667,112.2916667,2002,59.64003795,383,260,360,34,2467.407880783081,8.58973634102075,0.9995007488766848,0.5847,945017.21833992,261.2054892645942
-2.541666667,112.2916667,2003,62.55501851,383,260,360,34,2759.3893142938614,8.58973634102075,0.999500998003992,0.6321775132516022,1056846.107374549,221.18028259277344
-2.541666667,112.2916667,2004,66.16002815,383,260,360,34,2358.185627222061,8.58973634102075,0.9995012468827932,0.6889356374740601,903185.0952260494,237.70706176757807
-2.541666667,112.2916667,2005,63.8075298,383,260,360,34,2605.28920006752,8.58973634102075,0.9995014955134596,0.6282384991645813,997825.7636258602,271.41424560546875
-2.541666667,112.2916667,2006,61.00253176,383,260,360,34,2656.849057197571,8.58973634102075,0.9995017438963628,0.7156409025192261,1017573.1889066696,243.06741333007807
-2.541666667,112.2916667,2007,64.86751796,383,260,360,34,3271.8993040323257,8.58973634102075,0.9995019920318724,0.8154851794242859,1253137.4334443808,264.4679260253906
-2.541666667,112.2916667,2008,65.95002478,383,260,360,34,3488.0804759263992,8.58973634102075,0.9995022399203584,0.7482244372367859,1335934.822279811,269.7929992675781
-2.541666667,112.2916667,2009,63.7775294,383,260,360,34,2751.6203203201294,8.58973634102075,0.9995024875621892,0.677309513,1053870.5826826096,240.49420166015625
-2.541666667,112.2916667,2010,49.53254357,383,260,360,34,4324.081456184387,8.58973634102075,0.9995027349577325,0.7402520775794983,1656123.1977186203,332.27166748046875
-2.541666667,112.2916667,2011,48.70004417,383,260,360,34,3212.828409671783,8.58973634102075,0.999502982107356,0.5586075186729431,1230513.2809042928,233.83468627929688
-2.541666667,112.2916667,2012,48.46004329,383,260,360,34,2606.9879956245422,8.58973634102075,0.9995032290114256,0.76,998476.4023241997,251.7559356689453
-2.541666667,112.2916667,2013,42.16003601,383,260,360,34,2943.303789615631,8.58973634102075,0.9995034756703078,0.262534084,1127285.3514227867,274.22381591796875
-2.541666667,112.2916667,2014,38.597537,383,260,360,34,2636.594690322876,8.58973634102075,0.9995037220843672,0.123912504,1009815.7663936615,227.0087127685547
-2.541666667,112.2916667,2015,44.58253539,383,260,360,34,2508.0394711494446,8.58973634102075,0.9995039682539684,0.624964961,960579.1174502373,235.53570556640625
-2.541666667,112.2916667,2016,45.94504066,383,260,360,34,3363.9854304790497,8.58973634102075,0.9995042141794744,0.866381985,1288406.419873476,293.3817443847656
-2.541666667,112.2916667,2017,35.68004024,383,260,360,34,3137.2053278684616,8.58973634102075,0.9995044598612488,0.742676136,1201549.6405736208,276.3212280273437
-2.541666667,112.2916667,2018,37.25753768,383,260,360,34,2791.832502857576,8.58973634102075,0.9995047052996532,0.788646456,1069271.8485944516,259.4686889648437
-2.541666667,112.2916667,2019,34.80004142,383,260,360,34,2275.5297359228134,8.58973634102075,0.9995049504950496,0.415867474,871527.8888584375,265.5254821777344
-2.541666667,112.2916667,2020,35.00254144,383,260,360,34,3769.779573746957,8.58973634102075,0.999505195447798,0.766144498,1443825.5767450845,304.2470092773437
-2.625,112.0416667,1993,142.2924954,381,281,340,49,2938.66548204422,6.998666731000252,0.9994984954864594,0.7620923519134521,1119631.5486588478,308.32173411051434
-2.625,112.0416667,1994,140.5699991,381,281,340,49,2649.675963163376,6.998666731000252,0.999498746867168,0.7858986854553223,1009526.5419652462,308.32173411051434
